Constituency,Name,Date
NA-1,abdul latif,2024-05-14
NA-2,amjad ali khan,2024-05-14
NA-3,saleem rehman,2024-05-14
NA-4,sohail sultan,2024-05-14
NA-5,sahibzada sibghatullah,2024-05-14
NA-7,mehboob shah,2024-05-14
NA-8,mubarak zeb,2024-05-14
NA-9,junaid akbar,2024-05-14
NA-10,gohar ali khan,2024-05-14
NA-11,amir muqam,2024-05-14
NA-13,muhammad nawaz khan,2024-05-14
NA-14,sardar muhammad yousaf zaman,2024-05-14
NA-15,shahzada muhammad gushtasap khan,2024-05-14
NA-16,ali asghar khan,2024-05-14
NA-17,ali khan jadoon,2024-05-14
NA-18,omar ayub khan,2024-05-14
NA-19,asad qaiser,2024-05-14
NA-20,shahram khan,2024-05-14
NA-21,mujahid ali,2024-05-14
NA-22,muhammad atif,2024-05-14
NA-23,ali muhammad khan,2024-05-14
NA-24,malik anwar taj,2024-05-14
NA-25,fazal muhammad khan,2024-05-14
NA-26,sajid khan,2024-05-14
NA-27,muhammad iqbal khan (NA-27),2024-05-14
NA-28,noor alam khan,2024-05-14
NA-29,arbab amir ayub,2024-05-14
NA-30,shandana gulzar khan,2024-05-14
NA-33,syed shah ahad ali shah,2024-05-14
NA-34,zulfiqar ali,2024-05-14
NA-36,yousaf khan,2024-05-14
NA-37,hameed hussain,2024-05-14
NA-38,shahid ahmed,2024-05-14
NA-41,sher afzal khan,2024-05-14
NA-43,dawar khan kundi,2024-05-14
NA-45,fateh ullah khan,2024-05-14
NA-46,anjum aqeel khan,2024-05-14
NA-47,tariq fazal chudhary,2024-05-14
NA-48,raja khurram shahzad nawaz,2024-05-14
NA-49,sheikh aftab ahmad,2024-05-14
NA-51,raja osama sarwar,2024-05-14
NA-52,raja pervez ashraf,2024-05-14
NA-53,raja qamar ul islam,2024-05-14
NA-56,muhammad hanif abbasi,2024-05-14
NA-57,danyal,2024-05-14
NA-58,maj. (r) tahir iqbal,2024-05-14
NA-59,sardar ghulam abbas,2024-05-14
NA-61,farrukh altaf,2024-05-14
NA-62,mohammad ilyas choudhary,2024-05-14
NA-66,mohammad ahmed chattha,2024-05-14
NA-67,aniqa mehdi,2024-05-14
NA-68,haji imtiaz ahmad choudhry,2024-05-14
NA-69,nasir iqbal bosal,2024-05-14
NA-71,khawaja muhammad asif,2024-05-14
NA-72,ali zahid,2024-05-14
NA-73,syeda nosheen iftikhar,2024-05-14
NA-74,muhammad aslam ghumman,2024-05-14
NA-75,anwar ul haq,2024-05-14
NA-77,mahmood bashir virk,2024-05-14
NA-78,muhammad mobeen arif,2024-05-14
NA-80,shahid usman,2024-05-14
NA-82,mukhtar ahmad malik,2024-05-14
NA-83,usama ahmed mela,2024-05-14
NA-84,shafqat abbas,2024-05-14
NA-85,zulfiqar ali bhatti,2024-05-14
NA-86,muhammad miqdad ali khan,2024-05-14
NA-87,malik shakir bashir awan,2024-05-14
NA-88,gul asghar khan,2024-05-14
NA-89,muhammad jamal ahsan khan,2024-05-14
NA-90,umair khan niazi,2024-05-14
NA-91,sana ullah khan mastikhel,2024-05-14
NA-93,ghulam muhammad,2024-05-14
NA-94,qaiser ahmed sheikh,2024-05-14
NA-95,ali afzal sahi,2024-05-14
NA-96,rai haider ali khan,2024-05-14
NA-97,muhammad saad ullah,2024-05-14
NA-99,umar farooq,2024-05-14
NA-100,nisar ahmed,2024-05-14
NA-102,changaze ahmad khan,2024-05-14
NA-103,muhammad ali sarfraz,2024-05-14
NA-104,sahibzada muhammad hamid raza,2024-05-14
NA-105,usama hamza,2024-05-14
NA-106,m junaid anwar chaudhry,2024-05-14
NA-107,mohammad riaz khan,2024-05-14
NA-108,muhammad mahbob sultan,2024-05-14
NA-109,waqas akram,2024-05-14
NA-110,muhammad ameer sultan,2024-05-14
NA-111,muhammad arshad sahi,2024-05-14
NA-112,shezra mansab ali khan kharal,2024-05-14
NA-113,ahmad atteeq anwer,2024-05-14
NA-115,khurram shahzad virk,2024-05-14
NA-116,khurram munawar manj,2024-05-14
NA-119,ali pervaiz,2024-05-14
NA-120,sardar ayaz sadiq,2024-05-14
NA-124,rana mubashar iqbal,2024-05-14
NA-125,muhammad afzal,2024-05-14
NA-127,attaullah tarar,2024-05-14
NA-128,mohammad awn saqlain,2024-05-14
NA-132,rasheed ahmad khan,2024-05-14
NA-133,azim ud din zahid,2024-05-14
NA-134,rana muhammad hayat khan,2024-05-14
NA-135,nadeem abbas,2024-05-14
NA-137,syed raza ali gillani,2024-05-14
NA-138,muhammad mueen wattoo,2024-05-14
NA-139,ahmad raza maneka,2024-05-14
NA-140,rana iradat sharif khan,2024-05-14
NA-142,usman ali,2024-05-14
NA-143,rai hassan nawaz khan,2024-05-14
NA-144,muhammad raza hayat harraj,2024-05-14
NA-145,muhammad khan daha,2024-05-14
NA-146,zahoor hussain qureshi,2024-05-14
NA-147,choudhary iftikhar nazir,2024-05-14
NA-149,malik muhammad aamir dogar,2024-05-14
NA-150,makhdoom zain hussain qureshi,2024-05-14
NA-153,rana muhammad qasim noon,2024-05-14
NA-156,ayesha nazir,2024-05-14
NA-159,aurangzeb khan khichi,2024-05-14
NA-160,muhammad abdul ghaffar watto,2024-05-14
NA-163,muhammad ijaz ul haq,2024-05-14
